# BabelNet 4.0.1 - SapienzaNLP - LICENSE: BabelNet License - https://babelnet.org
bn:00082116v	wn:00865776v
bn:00084395v	wn:02643421v
bn:00084396v	wn:02487901v
bn:00084397v	wn:02359061v
bn:00084398v	wn:01899017v
bn:00084399v	wn:01068793v
bn:00084400v	wn:00874002v
bn:00084401v	wn:00869393v
bn:00084402v	wn:00822746v
bn:00084403v	wn:00783523v
bn:00084404v	wn:00754156v
bn:00084405v	wn:00753881v
bn:00084406v	wn:00738747v
bn:00084407v	wn:00738583v
bn:00084408v	wn:00691516v
bn:00084409v	wn:00107231v
bn:00084410v	wn:02017299v
bn:00084411v	wn:00924612v
bn:00084412v	wn:02312478v
bn:00084413v	wn:00607780v
bn:00084414v	wn:00791764v
bn:00084415v	wn:00791506v
bn:00084416v	wn:01063695v
bn:00084417v	wn:02305586v
bn:00084418v	wn:01646866v
bn:00084419v	wn:01469960v
bn:00084420v	wn:00792011v
bn:00084421v	wn:02405120v
bn:00084422v	wn:00790135v
bn:00084423v	wn:00867409v
bn:00084424v	wn:02681335v
bn:00084425v	wn:02477755v
bn:00084426v	wn:00794640v
bn:00084427v	wn:00868270v
bn:00084428v	wn:00912048v
bn:00084429v	wn:00975584v
bn:00084430v	wn:00868979v
bn:00084431v	wn:02601271v
bn:00084432v	wn:02425763v
bn:00084433v	wn:01097960v
bn:00084434v	wn:01691660v
bn:00084435v	wn:00273114v
bn:00084436v	wn:00255880v
bn:00084437v	wn:00255752v
bn:00084438v	wn:01764800v
bn:00084439v	wn:01763829v
bn:00084440v	wn:00022316v
bn:00084441v	wn:00558061v
bn:00084442v	wn:00058897v
bn:00084443v	wn:02035425v
bn:00084444v	wn:02158896v
bn:00084445v	wn:01514248v
bn:00084446v	wn:00525805v
bn:00084447v	wn:01094086v
bn:00084448v	wn:01093786v
bn:00084449v	wn:00186912v
bn:00084450v	wn:00213794v
bn:00084451v	wn:02402825v
bn:00084452v	wn:02336015v
bn:00084453v	wn:01933900v
bn:00084454v	wn:02717831v
bn:00084455v	wn:02477334v
bn:00084456v	wn:01549187v
bn:00084457v	wn:00800460v
bn:00084458v	wn:00471196v
bn:00084459v	wn:02149899v
bn:00084460v	wn:02196378v
bn:00084461v	wn:01412204v
bn:00084462v	wn:00090075v
bn:00084463v	wn:00089973v
bn:00084464v	wn:01162291v
bn:00084465v	wn:01162143v
bn:00084466v	wn:01147987v
bn:00084467v	wn:01134522v
bn:00084468v	wn:01136481v
bn:00084469v	wn:01422172v
bn:00084470v	wn:01947543v
bn:00084471v	wn:00861077v
bn:00084472v	wn:00823129v
bn:00084473v	wn:01226781v
bn:00084474v	wn:01337526v
bn:00084475v	wn:01884577v
bn:00084476v	wn:01959340v
bn:00084477v	wn:01959669v
bn:00084478v	wn:01959482v
bn:00084479v	wn:02714865v
bn:00084480v	wn:01656233v
bn:00084481v	wn:01049737v
bn:00084482v	wn:02469596v
bn:00084483v	wn:02458747v
bn:00084484v	wn:02454312v
bn:00084485v	wn:01268297v
bn:00084486v	wn:02693168v
bn:00084487v	wn:00236104v
bn:00084488v	wn:00485435v
bn:00084489v	wn:00972457v
bn:00084490v	wn:00525932v
bn:00084491v	wn:00301179v
bn:00084492v	wn:01967104v
bn:00084493v	wn:02330742v
bn:00084494v	wn:02279772v
bn:00084495v	wn:01692266v
bn:00084496v	wn:00731159v
bn:00084497v	wn:00731000v
bn:00084498v	wn:00162167v
bn:00084499v	wn:01117812v
bn:00084500v	wn:00061079v
bn:00084501v	wn:01964891v
bn:00084502v	wn:01895168v
bn:00084503v	wn:01893313v
bn:00084504v	wn:01581070v
bn:00084505v	wn:00244416v
bn:00084506v	wn:02440486v
bn:00084507v	wn:02323870v
bn:00084508v	wn:01686626v
bn:00084509v	wn:01215421v
bn:00084510v	wn:02304241v
bn:00084511v	wn:01480149v
bn:00084512v	wn:01909161v
bn:00084513v	wn:00114615v
bn:00084514v	wn:00114291v
bn:00084515v	wn:01949333v
bn:00084516v	wn:02627221v
bn:00084517v	wn:00186740v
bn:00084518v	wn:00373520v
bn:00084519v	wn:00369628v
bn:00084520v	wn:00526081v
bn:00084521v	wn:01599435v
bn:00084522v	wn:01356256v
bn:00084523v	wn:00663894v
bn:00084524v	wn:01822936v
bn:00084525v	wn:02550296v
bn:00084526v	wn:01824736v
bn:00084527v	wn:02436349v
bn:00084528v	wn:01766748v
bn:00084529v	wn:01823149v
bn:00084530v	wn:01828623v
bn:00084531v	wn:01776214v
bn:00084532v	wn:00078760v
bn:00084533v	wn:01924882v
bn:00084534v	wn:01884974v
bn:00084535v	wn:02082181v
bn:00084536v	wn:01226215v
bn:00084537v	wn:01472417v
bn:00084538v	wn:01764171v
bn:00084539v	wn:00535256v
bn:00084540v	wn:00133978v
bn:00084541v	wn:01680473v
bn:00084542v	wn:00727012v
bn:00084543v	wn:00499422v
bn:00084544v	wn:01731828v
bn:00084545v	wn:01892849v
bn:00084546v	wn:01598395v
bn:00084547v	wn:02493260v
bn:00084548v	wn:00808671v
bn:00084549v	wn:02408843v
bn:00084550v	wn:02749520v
bn:00084551v	wn:01235073v
bn:00084552v	wn:01234920v
bn:00084553v	wn:01132355v
bn:00084554v	wn:01449974v
bn:00084555v	wn:02717102v
bn:00084556v	wn:02079933v
bn:00084557v	wn:01061017v
bn:00084558v	wn:01218084v
bn:00084559v	wn:02561168v
bn:00084560v	wn:00235110v
bn:00084561v	wn:02636325v
bn:00084562v	wn:01101416v
bn:00084563v	wn:00738951v
bn:00084564v	wn:02285392v
bn:00084565v	wn:01746359v
bn:00084566v	wn:01408760v
bn:00084567v	wn:01061320v
bn:00084568v	wn:02746735v
bn:00084569v	wn:02741357v
bn:00084570v	wn:02682954v
bn:00084571v	wn:02636516v
bn:00084572v	wn:02630734v
bn:00084573v	wn:02586121v
bn:00084574v	wn:02556537v
bn:00084575v	wn:02555684v
bn:00084576v	wn:02359228v
bn:00084577v	wn:02303878v
bn:00084578v	wn:02233195v
bn:00084579v	wn:02012725v
bn:00084580v	wn:02001699v
bn:00084581v	wn:01740320v
bn:00084582v	wn:01241881v
bn:00084583v	wn:01205153v
bn:00084584v	wn:01203074v
bn:00084585v	wn:01123609v
bn:00084586v	wn:01123415v
bn:00084587v	wn:01101571v
bn:00084588v	wn:01100672v
bn:00084589v	wn:01049606v
bn:00084590v	wn:02302081v
bn:00084591v	wn:00641532v
bn:00084592v	wn:02013427v
bn:00084593v	wn:02445509v
bn:00084594v	wn:00781000v
bn:00084595v	wn:00486018v
bn:00084596v	wn:00349951v
bn:00084597v	wn:02079330v
bn:00084598v	wn:02202802v
bn:00084599v	wn:00059559v
bn:00084600v	wn:00701724v
bn:00084601v	wn:01454810v
bn:00084602v	wn:01451502v
bn:00084603v	wn:01451665v
bn:00084604v	wn:01693727v
bn:00084605v	wn:02046286v
bn:00084606v	wn:01256157v
bn:00084607v	wn:01256600v
bn:00084608v	wn:01255967v
bn:00084609v	wn:01758526v
bn:00084610v	wn:00587675v
bn:00084611v	wn:02467662v
bn:00084612v	wn:02071316v
bn:00084613v	wn:01465732v
bn:00084614v	wn:02165982v
bn:00084615v	wn:01486312v
bn:00084616v	wn:00526339v
bn:00084617v	wn:00526229v
bn:00084618v	wn:02256354v
bn:00084619v	wn:02279513v
bn:00084620v	wn:02755232v
bn:00084621v	wn:02427596v
bn:00084622v	wn:02422559v
bn:00084623v	wn:01599539v
bn:00084624v	wn:01632897v
bn:00084625v	wn:02236023v
bn:00084626v	wn:01710481v
bn:00084627v	wn:01507143v
bn:00084628v	wn:02385813v
bn:00084629v	wn:01881180v
bn:00084630v	wn:01662771v
bn:00084631v	wn:01513430v
bn:00084632v	wn:01078050v
bn:00084633v	wn:00981276v
bn:00084634v	wn:02222318v
bn:00084635v	wn:01814396v
bn:00084636v	wn:01671609v
bn:00084637v	wn:01671463v
bn:00084638v	wn:00824292v
bn:00084639v	wn:02500144v
bn:00084640v	wn:01077329v
bn:00084641v	wn:00541953v
bn:00084642v	wn:00060833v
bn:00084643v	wn:01411870v
bn:00084644v	wn:00238720v
bn:00084645v	wn:01626844v
bn:00084646v	wn:00652622v
bn:00084647v	wn:00267519v
bn:00084648v	wn:01515566v
bn:00084649v	wn:01514348v
bn:00084650v	wn:01060909v
bn:00084651v	wn:00725748v
bn:00084652v	wn:02117955v
bn:00084653v	wn:01401115v
bn:00084654v	wn:01439190v
bn:00084655v	wn:01327816v
bn:00084656v	wn:02018372v
bn:00084657v	wn:02248299v
bn:00084658v	wn:01155090v
bn:00084659v	wn:00543016v
bn:00084660v	wn:02510905v
bn:00084661v	wn:02189168v
bn:00084662v	wn:02150948v
bn:00084663v	wn:01328012v
bn:00084664v	wn:00599835v
bn:00084665v	wn:00589904v
bn:00084666v	wn:00087988v
bn:00084667v	wn:02761134v
bn:00084668v	wn:02189398v
bn:00084669v	wn:02109645v
bn:00084670v	wn:01738107v
bn:00084671v	wn:01480469v
bn:00084672v	wn:01380366v
bn:00084673v	wn:01082454v
bn:00084674v	wn:00726009v
bn:00084675v	wn:00460357v
bn:00084676v	wn:02129879v
bn:00084677v	wn:00015498v
bn:00084678v	wn:00088120v
bn:00084679v	wn:02760622v
bn:00084680v	wn:02500489v
bn:00084681v	wn:00590366v
bn:00084682v	wn:00543287v
bn:00084683v	wn:00731574v
bn:00084684v	wn:00014742v
bn:00084685v	wn:01998793v
bn:00084686v	wn:00598753v
bn:00084687v	wn:02520730v
bn:00084688v	wn:00787515v
bn:00084689v	wn:00787359v
bn:00084690v	wn:00657260v
bn:00084691v	wn:01466303v
bn:00084692v	wn:01182709v
bn:00084693v	wn:01180844v
bn:00084694v	wn:00914634v
bn:00084695v	wn:00023380v
bn:00084696v	wn:00188721v
bn:00084697v	wn:00386566v
bn:00084698v	wn:02429682v
bn:00084699v	wn:01645601v
bn:00084700v	wn:00770437v
bn:00084701v	wn:02123903v
bn:00084702v	wn:00019273v
bn:00084703v	wn:02335904v
bn:00084704v	wn:01267742v
bn:00084705v	wn:01283033v
bn:00084706v	wn:00649887v
bn:00084707v	wn:01282888v
bn:00084708v	wn:01883716v
bn:00084709v	wn:01060065v
bn:00084710v	wn:02680814v
bn:00084711v	wn:02609764v
bn:00084712v	wn:02316649v
bn:00084713v	wn:02235229v
bn:00084714v	wn:02578510v
bn:00084715v	wn:02490877v
bn:00084716v	wn:02398956v
bn:00084717v	wn:00789934v
bn:00084718v	wn:01304076v
bn:00084719v	wn:01366926v
bn:00084720v	wn:01366653v
bn:00084721v	wn:02126686v
bn:00084722v	wn:00682928v
bn:00084723v	wn:00823669v
bn:00084724v	wn:00948707v
bn:00084725v	wn:02676496v
bn:00084726v	wn:00722232v
bn:00084727v	wn:01852701v
bn:00084728v	wn:02723445v
bn:00084729v	wn:01443740v
bn:00084730v	wn:00405236v
bn:00084731v	wn:02047263v
bn:00084732v	wn:01283893v
bn:00084733v	wn:00628491v
bn:00084734v	wn:02262139v
bn:00084735v	wn:00804002v
bn:00084736v	wn:02349813v
bn:00084737v	wn:02444662v
bn:00084738v	wn:02447793v
bn:00084739v	wn:00822262v
bn:00084740v	wn:01897306v
bn:00084741v	wn:02119659v
bn:00084742v	wn:01788733v
bn:00084743v	wn:01253808v
bn:00084744v	wn:01250908v
bn:00084745v	wn:00373397v
bn:00084746v	wn:02259547v
bn:00084747v	wn:01038666v
bn:00084748v	wn:01464931v
bn:00084749v	wn:01288636v
bn:00084750v	wn:01198452v
bn:00084751v	wn:01286436v
bn:00084752v	wn:02440020v
bn:00084753v	wn:00813790v
bn:00084754v	wn:01690163v
bn:00084755v	wn:01697628v
bn:00084756v	wn:02321245v
bn:00084757v	wn:00949841v
bn:00084758v	wn:00869126v
bn:00084759v	wn:00868591v
bn:00084760v	wn:00808343v
bn:00084761v	wn:00808162v
bn:00084762v	wn:02656062v
bn:00084763v	wn:01277649v
bn:00084764v	wn:01175132v
bn:00084765v	wn:01174973v
bn:00084766v	wn:01149138v
bn:00084767v	wn:02594102v
bn:00084768v	wn:01970125v
bn:00084769v	wn:00109660v
bn:00084770v	wn:00550117v
bn:00084771v	wn:00169458v
bn:00084772v	wn:00161225v
bn:00084773v	wn:02257370v
bn:00084774v	wn:02088241v
bn:00084775v	wn:00551210v
bn:00084776v	wn:00163251v
bn:00084777v	wn:00138508v
bn:00084778v	wn:01946817v
bn:00084779v	wn:00140967v
bn:00084780v	wn:02221959v
bn:00084781v	wn:00140123v
bn:00084782v	wn:02191106v
bn:00084783v	wn:00169651v
bn:00084784v	wn:00380159v
bn:00084785v	wn:00381013v
bn:00084786v	wn:01983771v
bn:00084787v	wn:00146138v
bn:00084788v	wn:00356258v
bn:00084789v	wn:02196948v
bn:00084790v	wn:01435380v
bn:00084791v	wn:00551611v
bn:00084792v	wn:01931768v
bn:00084793v	wn:01757021v
bn:00084794v	wn:01369059v
bn:00084795v	wn:01066775v
bn:00084796v	wn:00337428v
bn:00084797v	wn:02026712v
bn:00084798v	wn:02771997v
bn:00084799v	wn:01322391v
bn:00084800v	wn:02697950v
bn:00084801v	wn:00956687v
bn:00084802v	wn:01693138v
bn:00084803v	wn:00869931v
bn:00084804v	wn:00843959v
bn:00084805v	wn:01488956v
bn:00084806v	wn:02321046v
bn:00084807v	wn:02348568v
bn:00084808v	wn:02347637v
bn:00084809v	wn:02317289v
bn:00084810v	wn:01985424v
bn:00084811v	wn:01685960v
bn:00084812v	wn:01490336v
bn:00084813v	wn:01152214v
bn:00084814v	wn:00750345v
bn:00084815v	wn:00750172v
bn:00084816v	wn:00700517v
bn:00084817v	wn:00518115v
bn:00084818v	wn:00517847v
bn:00084819v	wn:00498016v
bn:00084820v	wn:01949817v
bn:00084821v	wn:01906687v
bn:00084822v	wn:01897097v
bn:00084823v	wn:01130455v
bn:00084824v	wn:00776523v
bn:00084825v	wn:00710803v
bn:00084826v	wn:00705095v
bn:00084827v	wn:01755137v
bn:00084828v	wn:02460619v
bn:00084829v	wn:02447692v
bn:00084830v	wn:02208537v
bn:00084831v	wn:02001858v
bn:00084832v	wn:02535093v
bn:00084833v	wn:01583881v
bn:00084834v	wn:02002720v
bn:00084835v	wn:01895027v
bn:00084836v	wn:00202934v
bn:00084837v	wn:00202445v
bn:00084838v	wn:00767807v
bn:00084839v	wn:02185861v
bn:00084840v	wn:01553869v
bn:00084841v	wn:01037303v
bn:00084842v	wn:02058049v
bn:00084843v	wn:01201574v
bn:00084844v	wn:00207728v
bn:00084845v	wn:02573275v
bn:00084846v	wn:01104624v
bn:00084847v	wn:02574516v
bn:00084848v	wn:00661824v
bn:00084849v	wn:02533282v
bn:00084850v	wn:02510337v
bn:00084851v	wn:01861403v
bn:00084852v	wn:00662182v
bn:00084853v	wn:00440286v
bn:00084854v	wn:02658283v
bn:00084855v	wn:02557638v
bn:00084856v	wn:02553697v
bn:00084857v	wn:02347905v
bn:00084858v	wn:02347447v
bn:00084859v	wn:01861767v
bn:00084860v	wn:01861622v
bn:00084861v	wn:01692978v
bn:00084862v	wn:01139756v
bn:00084863v	wn:01114764v
bn:00084864v	wn:01064999v
bn:00084865v	wn:00663353v
bn:00084866v	wn:00354634v
bn:00084867v	wn:00336539v
bn:00084868v	wn:00966152v
bn:00084869v	wn:00966492v
bn:00084870v	wn:02376833v
bn:00084871v	wn:02363742v
bn:00084872v	wn:02311260v
bn:00084873v	wn:00809071v
bn:00084874v	wn:00437322v
bn:00084875v	wn:01114475v
bn:00084876v	wn:01529407v
bn:00084877v	wn:00963452v
bn:00084878v	wn:01052301v
bn:00084879v	wn:01817938v
bn:00084880v	wn:00858568v
bn:00084881v	wn:00859325v
bn:00084882v	wn:00859153v
bn:00084883v	wn:00858437v
bn:00084884v	wn:02680691v
bn:00084885v	wn:01523004v
bn:00084886v	wn:02621706v
bn:00084887v	wn:01599666v
bn:00084888v	wn:01201089v
bn:00084889v	wn:00630380v
bn:00084890v	wn:01123030v
bn:00084891v	wn:00166457v
bn:00084892v	wn:01818972v
bn:00084893v	wn:00370412v
bn:00084894v	wn:00369864v
bn:00084895v	wn:02182342v
bn:00084896v	wn:01975387v
bn:00084897v	wn:01323202v
bn:00084898v	wn:02186506v
bn:00084899v	wn:01423506v
bn:00084900v	wn:01259005v
bn:00084901v	wn:01598140v
bn:00084902v	wn:01260291v
bn:00084903v	wn:00180315v
bn:00084904v	wn:02308741v
bn:00084905v	wn:01049140v
bn:00084906v	wn:02107817v
bn:00084907v	wn:01730663v
bn:00084908v	wn:01052671v
bn:00084909v	wn:01259328v
bn:00084910v	wn:01053623v
bn:00084911v	wn:00186567v
bn:00084912v	wn:00089602v
bn:00084913v	wn:00021826v
bn:00084914v	wn:01342340v
bn:00084915v	wn:01218396v
bn:00084916v	wn:01524298v
bn:00084917v	wn:01730799v
bn:00084918v	wn:00002724v
bn:00084919v	wn:01570562v
bn:00084920v	wn:01570744v
bn:00084921v	wn:00077950v
bn:00084922v	wn:00077698v
bn:00084923v	wn:02529669v
bn:00084924v	wn:02423999v
bn:00084925v	wn:00391203v
bn:00084926v	wn:00391021v
bn:00084927v	wn:00173159v
bn:00084928v	wn:00077606v
bn:00084929v	wn:00391417v
bn:00084930v	wn:00499512v
bn:00084931v	wn:00674607v
bn:00084932v	wn:00679389v
bn:00084933v	wn:00679937v
bn:00084934v	wn:02448642v
bn:00084935v	wn:01258091v
bn:00084936v	wn:01871471v
bn:00084937v	wn:01758410v
bn:00084938v	wn:01415454v
bn:00084939v	wn:01257173v
bn:00084940v	wn:01124535v
bn:00084941v	wn:01257507v
bn:00084942v	wn:01299268v
bn:00084943v	wn:01727354v
bn:00084944v	wn:00482180v
bn:00084945v	wn:01708317v
bn:00084946v	wn:00710415v
bn:00084947v	wn:00031663v
bn:00084948v	wn:00986750v
bn:00084949v	wn:00385865v
bn:00084950v	wn:00386085v
bn:00084951v	wn:01395945v
bn:00084952v	wn:00517128v
bn:00084953v	wn:01001136v
bn:00084954v	wn:00277399v
bn:00084955v	wn:01514525v
bn:00084956v	wn:02227362v
bn:00084957v	wn:01243661v
bn:00084958v	wn:01083044v
bn:00084959v	wn:00006802v
bn:00084960v	wn:02179372v
bn:00084961v	wn:02588871v
bn:00084962v	wn:01385920v
bn:00084963v	wn:00657016v
bn:00084964v	wn:02079151v
bn:00084965v	wn:01418389v
bn:00084966v	wn:01714095v
bn:00084967v	wn:01625044v
bn:00084968v	wn:01808374v
bn:00084969v	wn:01052562v
bn:00084970v	wn:01968275v
bn:00084971v	wn:01551679v
bn:00084972v	wn:01302982v
bn:00084973v	wn:00663819v
bn:00084974v	wn:00635794v
bn:00084975v	wn:01712298v
bn:00084976v	wn:00994076v
bn:00084977v	wn:01911339v
bn:00084978v	wn:02044278v
bn:00084979v	wn:01522716v
bn:00084980v	wn:02082355v
bn:00084981v	wn:02082527v
bn:00084982v	wn:02454649v
bn:00084983v	wn:02043665v
bn:00084984v	wn:02454548v
bn:00084985v	wn:00573571v
bn:00084986v	wn:00969873v
bn:00084987v	wn:02043190v
bn:00084988v	wn:02042404v
bn:00084989v	wn:02042843v
bn:00084990v	wn:02042237v
bn:00084991v	wn:00270005v
bn:00084992v	wn:01911232v
bn:00084993v	wn:01274559v
bn:00084994v	wn:01274341v
bn:00084995v	wn:02083396v
bn:00084996v	wn:01911526v
bn:00084997v	wn:01583494v
bn:00084998v	wn:00235368v
bn:00084999v	wn:01583656v
bn:00085000v	wn:01012792v
bn:00085001v	wn:01131058v
bn:00085002v	wn:00809654v
bn:00085003v	wn:02738396v
bn:00085004v	wn:02045790v
bn:00085005v	wn:01023071v
bn:00085006v	wn:01705257v
bn:00085007v	wn:01023259v
bn:00085008v	wn:01023574v
bn:00085009v	wn:00791134v
bn:00085010v	wn:00499642v
bn:00085011v	wn:00136673v
bn:00085012v	wn:02388403v
bn:00085013v	wn:00411312v
bn:00085014v	wn:00457770v
bn:00085015v	wn:01054849v
bn:00085016v	wn:00756338v
bn:00085017v	wn:01018352v
bn:00085018v	wn:00758333v
bn:00085019v	wn:00756076v
bn:00085020v	wn:01383947v
bn:00085021v	wn:01921772v
bn:00085022v	wn:00774641v
bn:00085023v	wn:00915041v
bn:00085024v	wn:02506924v
bn:00085025v	wn:01343610v
bn:00085026v	wn:00747932v
bn:00085027v	wn:00418921v
bn:00085028v	wn:02174115v
bn:00085029v	wn:02174461v
bn:00085030v	wn:02174311v
bn:00085031v	wn:01607590v
bn:00085032v	wn:02094299v
bn:00085033v	wn:00034115v
bn:00085034v	wn:02094172v
bn:00085035v	wn:01237599v
bn:00085036v	wn:01237398v
bn:00085037v	wn:01364997v
bn:00085038v	wn:01623365v
bn:00085039v	wn:01337412v
bn:00085040v	wn:01306566v
bn:00085041v	wn:01171799v
bn:00085042v	wn:00939857v
bn:00085043v	wn:00505151v
bn:00085044v	wn:01733994v
bn:00085045v	wn:00978055v
bn:00085046v	wn:01561143v
bn:00085047v	wn:02667698v
bn:00085048v	wn:00805228v
bn:00085049v	wn:01216522v
bn:00085050v	wn:01222328v
bn:00085051v	wn:00526643v
bn:00085052v	wn:02508803v
bn:00085053v	wn:00739662v
bn:00085054v	wn:01914297v
bn:00085055v	wn:01213504v
bn:00085056v	wn:01306654v
bn:00085057v	wn:00845765v
bn:00085058v	wn:01053495v
bn:00085059v	wn:01532589v
bn:00085060v	wn:00177714v
bn:00085061v	wn:01533442v
bn:00085062v	wn:00035758v
bn:00085063v	wn:02741960v
bn:00085064v	wn:01608951v
bn:00085065v	wn:01608706v
bn:00085066v	wn:01532434v
bn:00085067v	wn:00180837v
bn:00085068v	wn:00177861v
bn:00085069v	wn:00448864v
bn:00085070v	wn:02403408v
bn:00085071v	wn:02314784v
bn:00085072v	wn:00275843v
bn:00085073v	wn:02279315v
bn:00085074v	wn:02254671v
bn:00085075v	wn:00040766v
bn:00085076v	wn:00501896v
bn:00085077v	wn:00181664v
bn:00085078v	wn:00195617v
bn:00085079v	wn:00195342v
bn:00085080v	wn:02523351v
bn:00085081v	wn:02289134v
bn:00085082v	wn:02156844v
bn:00085083v	wn:02081178v
bn:00085084v	wn:00621058v
bn:00085085v	wn:02422409v
bn:00085086v	wn:02350440v
bn:00085087v	wn:02291548v
bn:00085088v	wn:02291258v
bn:00085089v	wn:02208409v
bn:00085090v	wn:02053490v
bn:00085091v	wn:00761454v
bn:00085092v	wn:00549217v
bn:00085093v	wn:00450863v
bn:00085094v	wn:00450691v
bn:00085095v	wn:00450565v
bn:00085096v	wn:00178235v
bn:00085097v	wn:00195091v
bn:00085098v	wn:00181559v
bn:00085099v	wn:01856350v
bn:00085100v	wn:00576228v
bn:00085101v	wn:02003186v
bn:00085102v	wn:00035089v
bn:00085103v	wn:00484892v
bn:00085104v	wn:02352395v
bn:00085105v	wn:01304602v
bn:00085106v	wn:01556572v
bn:00085107v	wn:01558681v
bn:00085108v	wn:01572978v
bn:00085109v	wn:01394812v
bn:00085110v	wn:02411802v
bn:00085111v	wn:01523401v
bn:00085112v	wn:01893771v
bn:00085113v	wn:02185664v
bn:00085114v	wn:01242208v
bn:00085115v	wn:01055146v
bn:00085116v	wn:00591755v
bn:00085117v	wn:00491551v
bn:00085118v	wn:01346548v
bn:00085119v	wn:00485609v
bn:00085120v	wn:01921964v
bn:00085121v	wn:01923909v
bn:00085122v	wn:00433232v
bn:00085123v	wn:02037989v
bn:00085124v	wn:00249017v
bn:00085125v	wn:00155143v
bn:00085126v	wn:00155547v
bn:00085127v	wn:01344903v
bn:00085128v	wn:01573143v
bn:00085129v	wn:01424867v
bn:00085130v	wn:01344748v
bn:00085131v	wn:00763713v
bn:00085132v	wn:01776065v
bn:00085133v	wn:01216331v
bn:00085134v	wn:01220303v
bn:00085135v	wn:02186690v
bn:00085136v	wn:00526895v
bn:00085137v	wn:00526749v
bn:00085138v	wn:01456463v
bn:00085139v	wn:01901447v
bn:00085140v	wn:01367616v
bn:00085141v	wn:01321002v
bn:00085142v	wn:00292877v
bn:00085143v	wn:02172296v
bn:00085144v	wn:02147603v
bn:00085145v	wn:01617034v
bn:00085146v	wn:01334535v
bn:00085147v	wn:00490968v
bn:00085148v	wn:00966330v
bn:00085149v	wn:00966640v
bn:00085150v	wn:01002618v
bn:00085151v	wn:01709931v
bn:00085152v	wn:01301230v
bn:00085153v	wn:00441007v
bn:00085154v	wn:00368367v
bn:00085155v	wn:00182037v
bn:00085156v	wn:02724126v
bn:00085157v	wn:01471434v
bn:00085158v	wn:00495636v
bn:00085159v	wn:01930033v
bn:00085160v	wn:01694984v
bn:00085161v	wn:02184965v
bn:00085162v	wn:01345109v
bn:00085163v	wn:01346978v
bn:00085164v	wn:02426395v
bn:00085165v	wn:02425913v
bn:00085166v	wn:02610628v
bn:00085167v	wn:00763831v
bn:00085168v	wn:02754276v
bn:00085169v	wn:02375619v
bn:00085170v	wn:02140781v
bn:00085171v	wn:02104503v
bn:00085172v	wn:02054541v
bn:00085173v	wn:02054382v
bn:00085174v	wn:01607288v
bn:00085175v	wn:01478423v
bn:00085176v	wn:01423285v
bn:00085177v	wn:01291941v
bn:00085178v	wn:00352137v
bn:00085179v	wn:02054703v
bn:00085180v	wn:01587062v
bn:00085181v	wn:02680531v
bn:00085182v	wn:02031826v
bn:00085183v	wn:02629390v
bn:00085184v	wn:02352538v
bn:00085185v	wn:00351719v
bn:00085186v	wn:01302717v
bn:00085187v	wn:00527034v
bn:00085188v	wn:00457998v
bn:00085189v	wn:00458276v
bn:00085190v	wn:02770717v
bn:00085191v	wn:02041577v
bn:00085192v	wn:01769565v
bn:00085193v	wn:01537959v
bn:00085194v	wn:00587962v
bn:00085195v	wn:00510364v
bn:00085196v	wn:00391833v
bn:00085197v	wn:02771020v
bn:00085198v	wn:00361388v
bn:00085199v	wn:01412759v
bn:00085200v	wn:02333225v
bn:00085201v	wn:01193932v
bn:00085202v	wn:02592250v
bn:00085203v	wn:02592111v
bn:00085204v	wn:01320321v
bn:00085205v	wn:00927900v
bn:00085206v	wn:02025009v
bn:00085207v	wn:01212572v
bn:00085208v	wn:00737656v
bn:00085209v	wn:00181875v
bn:00085210v	wn:01704631v
bn:00085211v	wn:02387792v
bn:00085212v	wn:02660442v
bn:00085213v	wn:02660819v
bn:00085214v	wn:02401051v
bn:00085215v	wn:02536098v
bn:00085216v	wn:02397266v
bn:00085217v	wn:02362460v
bn:00085218v	wn:02465145v
bn:00085219v	wn:00998030v
bn:00085220v	wn:02631537v
bn:00085221v	wn:01721415v
bn:00085222v	wn:02662647v
bn:00085223v	wn:00833702v
bn:00085224v	wn:01931262v
bn:00085225v	wn:02417098v
bn:00085226v	wn:02352704v
bn:00085227v	wn:01599983v
bn:00085228v	wn:01461152v
bn:00085229v	wn:01600191v
bn:00085230v	wn:01600098v
bn:00085231v	wn:01253468v
bn:00085232v	wn:00136443v
bn:00085233v	wn:01886728v
bn:00085234v	wn:01264283v
bn:00085235v	wn:00051511v
bn:00085236v	wn:01267475v
bn:00085237v	wn:00261845v
bn:00085238v	wn:01626600v
bn:00085239v	wn:00021679v
bn:00085240v	wn:01884868v
bn:00085241v	wn:01247426v
bn:00085242v	wn:01916634v
bn:00085243v	wn:01983006v
bn:00085244v	wn:02040054v
bn:00085245v	wn:01278817v
bn:00085246v	wn:00707322v
bn:00085247v	wn:02092680v
bn:00085248v	wn:01581933v
bn:00085249v	wn:00320410v
bn:00085250v	wn:01589723v
bn:00085251v	wn:00481739v
bn:00085252v	wn:02504562v
bn:00085253v	wn:02604618v
bn:00085254v	wn:02604477v
bn:00085255v	wn:01499948v
bn:00085256v	wn:01391460v
bn:00085257v	wn:01293918v
bn:00085258v	wn:01918803v
bn:00085259v	wn:01869003v
bn:00085260v	wn:00703512v
bn:00085261v	wn:00594621v
bn:00085262v	wn:02651193v
bn:00085263v	wn:02753642v
bn:00085264v	wn:02753426v
bn:00085265v	wn:01334647v
